year,ac_no,ac_name,district,turnout_pct,winner_candidate,winner_party,winner_votes,winner_pct,runnerup_candidate,runnerup_party,runnerup_votes,runnerup_pct,margin_votes
2022,366,Jaunpur,Jaunpur,57.03,Girish Chandra Yadav,BJP,97760.0,39.35,Mohd. Arshad Khan,SP,89708.0,36.11,8052.0
2022,367,Malhani,Jaunpur,60.28,Lucky Yadav,SP,97357.0,42.57,Dhananjay Singh,JD(U),79830.0,34.91,17527.0
2022,368,Mungra Badshahpur,Jaunpur,56.85,Pankaj Patel,SP,92048.0,41.9,Ajay Dubey,BJP,86818.0,39.52,5230.0
2022,369,Machhlishahr (SC),Jaunpur,54.3,Ragini Sonkar,SP,91659.0,41.99,Mihilal Gautam,BJP,83175.0,38.1,8484.0
2022,370,Mariyahu,Jaunpur,57.38,R.K. Patel,AD(S),76007.0,39.25,Sushma Patel,SP,74801.0,38.62,1206.0
2022,371,Zafrabad,Jaunpur,56.05,Jagdish Narayan,SBSP,90620.0,40.57,Harendra Prasad Singh,BJP,84328.0,37.76,6292.0
2022,372,Kerakat (SC),Jaunpur,57.65,Tufani Saroj,SP,94022.0,39.13,Dinesh Choudhary,BJP,84178.0,35.04,9844.0
2022,373,Jakhanian (SC),Ghazipur,58.89,Triveni Ram,SBSP,113378.0,44.53,Ramraj Vanvasi,BJP,76513.0,30.05,36865.0
2022,374,Saidpur (SC),Ghazipur,59.06,Ankit Bharti,SP,109711.0,46.36,Subhash Passi,BJP,73076.0,30.88,36635.0
2022,375,Ghazipur Sadar,Ghazipur,62.04,Jai Kishan Sahu,SP,92472.0,40.81,Sangeeta Balwant Bind,BJP,90780.0,40.06,1692.0
2022,376,Jangipur,Ghazipur,61.16,Virendra Kumar Yadav,SP,103125.0,44.75,Ramnaresh Kushwah,BJP,68062.0,29.53,35063.0
2022,377,Zahoorabad,Ghazipur,60.74,Om Prakash Rajbhar,SBSP,114860.0,46.45,Kalicharan Rajbhar,BJP,69228.0,21.49,45632.0
2022,378,Mohammadabad,Ghazipur,57.95,Suhaib Ansari,SP,111443.0,45.26,Alka Rai,BJP,92684.0,37.64,18759.0
2022,379,Zamania,Ghazipur,54.79,Omprakash Singh,SP,94695.0,40.57,Sunita Singh,BJP,72239.0,30.95,22456.0
2022,380,Mughalsarai,Chandauli,60.14,Ramesh Jaiswal,BJP,102216.0,42.4,Chandra Shekhar Yadav,SP,87295.0,36.21,14921.0
2022,381,Sakaldiha,Chandauli,63.16,Prabhunarayan Yadav,SP,86328.0,40.7,Suryamuni Tiwari,BJP,69667.0,32.84,16661.0
2022,382,Saiyadraja,Chandauli,63.02,Sushil Singh,BJP,87891.0,41.85,Manoj Kumar,SP,76974.0,36.65,10917.0
2022,383,Chakia (SC),Chandauli,65.22,Kailash Kharwar,BJP,97812.0,39.63,Jitendra Kumar,SP,88561.0,35.88,9251.0
2022,384,Pindra,Varanasi,59.05,Awadhesh Kumar Singh,BJP,84325.0,38.23,Babu Lal,BSP,48766.0,22.11,35559.0
2022,385,Ajagara (SC),Varanasi,65.52,Tribhuwan Ram,BJP,101088.0,41.25,Sunil Sonkar,SBSP,91928.0,37.51,9160.0
2022,386,Shivpur,Varanasi,67.22,Anil Rajbhar,BJP,115231.0,45.76,Arvind Rajbhar,SBSP,87544.0,34.77,27687.0
2022,387,Rohaniya,Varanasi,60.39,Dr. Sunil Patel,AD(S),118663.0,48.08,Abhay Patel,AD(K),72191.0,29.25,46472.0
2022,388,Varanasi North,Varanasi,57.65,Ravindra Jaiswal,BJP,134471.0,54.61,Ashfaque,SP,93695.0,38.05,40776.0
2022,389,Varanasi South,Varanasi,60.51,Neelkanth Tiwari,BJP,99622.0,50.88,Kameshwar (Kishan Dixit),SP,88900.0,45.41,10722.0
